user_id,channel,country,cohort_month,clicked,installed,completed_onboarding,started_trial,converted_to_paid
1,Facebook,US,2024-03,1,0,0,0,0
2,Organic,US,2024-01,0,0,0,0,0
3,TikTok,US,2024-02,1,0,0,0,0
4,Facebook,DE,2024-03,0,0,0,0,0
5,Google,UK,2024-02,1,0,0,0,0
6,Google,Other,2024-03,1,0,0,0,0
7,Google,US,2024-04,1,0,0,0,0
8,Organic,DE,2024-01,0,0,0,0,0
9,Facebook,UA,2024-03,1,0,0,0,0
10,TikTok,UA,2024-01,0,0,0,0,0
11,Google,Other,2024-02,0,0,0,0,0
12,Organic,DE,2024-01,1,0,0,0,0
13,TikTok,Other,2024-01,1,1,0,0,0
14,Google,US,2024-02,1,1,1,1,0
15,Google,UK,2024-02,0,0,0,0,0
16,Google,US,2024-04,1,0,0,0,0
17,Google,US,2024-03,0,0,0,0,0
18,Facebook,US,2024-04,0,0,0,0,0
19,Facebook,US,2024-03,1,0,0,0,0
20,Google,US,2024-01,0,0,0,0,0
21,Facebook,US,2024-02,1,0,0,0,0
22,Google,US,2024-02,0,0,0,0,0
23,Google,Other,2024-02,0,0,0,0,0
24,Facebook,US,2024-03,1,0,0,0,0
25,Facebook,DE,2024-03,1,0,0,0,0
26,TikTok,US,2024-02,0,0,0,0,0
27,Google,Other,2024-01,0,0,0,0,0
28,Facebook,Other,2024-01,1,0,0,0,0
29,Facebook,DE,2024-01,0,0,0,0,0
30,Google,DE,2024-01,0,0,0,0,0
31,Facebook,US,2024-04,1,0,0,0,0
32,Google,Other,2024-01,0,0,0,0,0
33,Google,Other,2024-03,1,0,0,0,0
34,Organic,Other,2024-02,1,0,0,0,0
35,Organic,DE,2024-01,1,0,0,0,0
36,TikTok,US,2024-04,0,0,0,0,0
37,Google,Other,2024-03,1,1,1,1,1
38,Google,US,2024-01,0,0,0,0,0
39,TikTok,UK,2024-04,0,0,0,0,0
40,Facebook,US,2024-01,0,0,0,0,0
41,Google,Other,2024-01,0,0,0,0,0
42,Facebook,US,2024-04,0,0,0,0,0
43,Google,US,2024-03,0,0,0,0,0
44,Organic,UK,2024-02,0,0,0,0,0
45,Google,UA,2024-01,0,0,0,0,0
46,TikTok,DE,2024-04,1,1,1,0,0
47,Google,US,2024-02,0,0,0,0,0
48,Facebook,US,2024-01,1,0,0,0,0
49,Facebook,UA,2024-03,1,1,0,0,0
50,Google,Other,2024-04,1,0,0,0,0
51,Organic,UA,2024-01,0,0,0,0,0
52,TikTok,UK,2024-04,1,0,0,0,0
53,Organic,Other,2024-03,1,1,1,0,0
54,Organic,UK,2024-02,1,0,0,0,0
55,Facebook,UK,2024-03,0,0,0,0,0
56,Organic,UK,2024-04,1,0,0,0,0
57,Google,UK,2024-01,1,1,1,1,0
58,Google,UA,2024-01,0,0,0,0,0
59,Google,UK,2024-04,1,0,0,0,0
60,Google,US,2024-03,1,0,0,0,0
61,Facebook,US,2024-02,1,0,0,0,0
62,Google,US,2024-03,0,0,0,0,0
63,TikTok,UK,2024-03,1,0,0,0,0
64,Facebook,US,2024-04,0,0,0,0,0
65,Google,US,2024-04,1,1,0,0,0
66,Facebook,DE,2024-02,0,0,0,0,0
67,Google,DE,2024-02,0,0,0,0,0
68,TikTok,UA,2024-03,0,0,0,0,0
69,Google,UK,2024-02,1,0,0,0,0
70,Organic,Other,2024-03,1,1,0,0,0
71,TikTok,Other,2024-02,0,0,0,0,0
72,Google,UA,2024-01,0,0,0,0,0
73,Google,DE,2024-02,0,0,0,0,0
74,TikTok,US,2024-03,1,1,1,0,0
